index,file,family
0,00ef709863e83b4afc12725ef373c61a,Lolyda.AA1
1,001a1b3af2db30fe1e39c57dce1526fe,Lolyda.AA1
2,00488b238ad9c42fb307afce7540e536,Lolyda.AA1
3,00c51744dcf95960bbbea9b57c1a7d4a,Lolyda.AA1
4,005e7e0b7c23a786b073fb727b6721c3,Lolyda.AA1
5,0099aeb71a271a0212c47bebf6007478,Lolyda.AA1
6,00042825a3712174b1e092294c6473d6,Lolyda.AA1
7,00c5bf7d361509b0f82e682bece06933,Lolyda.AA1
8,002facd6f3d14c9092758260cccd5c82,Lolyda.AA1
9,003d8e4b08629e33c38bd90441baa05c,Lolyda.AA1
10,0039765c7de47c9050e2fea280d03710,Lolyda.AA1
11,00959dd8784e5a41951b9b4930ac6425,Lolyda.AA1
12,005d071db2ee0a52b3f925c7a19d7d38,Lolyda.AA1
13,00bc56df4350974ce61c3671e740c35e,Lolyda.AA1
14,00c51f6f40e355c6ea8e0b19a823e752,Lolyda.AA1
15,00821eb4e0f36bc8e484a1053b8e2538,Lolyda.AA1
16,004be1788885f7a368453a90fb83ebec,Lolyda.AA1
17,0024b623158452e47a27f7124cd69227,Lolyda.AA1
18,001a751176fb48f84d320651f23a7d21,Lolyda.AA1
19,006ca63db906921dc3a03246c41059bc,Lolyda.AA1
20,00a9646dc95c8f67ec9f10cc9462d4ed,Lolyda.AA1
21,00c58b25e1965f70b775c5cdd360fef4,Lolyda.AA1
22,03c8a12f2f1a9608fd74b6ce5542aece,Lolyda.AA1
23,001a1dd94def28d01066a783d755bd5d,Lolyda.AA1
24,007c3aa417fe1fa4bf1ac483883367da,Lolyda.AA1
25,0098f5d10fd60d113915bdbe1cc795b8,Lolyda.AA1
26,008a68bae061d84bdf155bb11f36bf2a,Lolyda.AA1
27,009cceeea66849cb6104bc376c312850,Lolyda.AA1
28,00641ab2dfccd3b54bd01768ff3cbb33,Lolyda.AA1
29,00e444ea5dfe17bbc08c8815a394dc82,Lolyda.AA1
30,009f36446027591daba0adea09558a44,Lolyda.AA1
31,02a711411e6d15991751ee6a1746258e,Lolyda.AA1
32,00ddbb261851d4d7b1a0b0f6bc9bbf15,Lolyda.AA1
33,00e187cd41206ddf467f1140bce615c5,Lolyda.AA1
34,00bfc126632f3fd7c062cf4928c0bbe7,Lolyda.AA1
35,008971de563ea0feb7e9e2e4d7390bf8,Lolyda.AA1
36,00b0e054e84fcb118c6e9c3da67ef7a6,Lolyda.AA1
37,00f6962b7c32c7bc16b523cd94303722,Lolyda.AA1
38,00c50b4444830ce3c449e4eb7d535b8b,Lolyda.AA1
39,00ab4b2f1dbb7dde44139294d648d6d0,Lolyda.AA1
40,007d3244792e90dda8ffc9eb1f380dbb,Lolyda.AA1
41,00f15031b1a3e902e5ec06652ee62765,Lolyda.AA1
42,00c5a590a6e342893dba5fb888527c19,Lolyda.AA1
43,000f0b30041741e18199a8c8a08a40af,Lolyda.AA1
44,0358fdcfe32791ed67a138864576ce7e,Lolyda.AA1
45,0031722a4a021547b523ae78be086125,Lolyda.AA1
46,00dd932cdacc92484e7a852876c4323a,Lolyda.AA1
47,00f022484ec09cfcde0a1d808717005d,Lolyda.AA1
48,0049de0da8b8c12110fc17ca825cf2ee,Lolyda.AA1
49,000f34661cf3b76a354ba6fecde8167d,Lolyda.AA1
50,015b44fe33034e7c83d155b3dc7a3d2e,Lolyda.AA1
51,00812dde94f5049b0ad7561b004031f9,Lolyda.AA1
52,003581cfa507ad77feee55713ec98fb9,Lolyda.AA1
53,0078b674242f07a452618e975e3dbede,Lolyda.AA1
54,00f08b34940fc4c76b6fa3ddbcac9ff0,Lolyda.AA1
55,009bc039f6c8de31c471b997c59556a1,Lolyda.AA1
56,00675fb4f52124ab64fe49b4b07aa693,Lolyda.AA1
57,004ad1aa70ce198d22dc7a742d5ce13a,Lolyda.AA1
58,0095f07bea498410d5f0a53b535cf462,Lolyda.AA1
59,001801cef0f6617d6adeace505bec216,Lolyda.AA1
60,003ea860ea0a96025b9354bcc5b8a722,Lolyda.AA1
61,005d8042cfc9829f259ecab0f780c809,Lolyda.AA1
62,00ccb74172db09ca2682021d75f8cf70,Lolyda.AA1
63,007bed2d53209e27dd8538bc966dfa62,Lolyda.AA1
64,00214fb94288c34da6aa54210e4cc177,Lolyda.AA1
65,000151955f18550a59fcc81a94170aa5,Lolyda.AA1
66,00b47d4a2ce11dacb49ff28a90d43892,Lolyda.AA1
67,00654f9a19d723df69fde6fd75679a04,Lolyda.AA1
68,009b062490490101b812208a563a4560,Lolyda.AA1
69,00a493023e0fdf46c719004913c74bd1,Lolyda.AA1
70,00ac1480d86762d63958ba90ca90e2bd,Lolyda.AA1
71,00184133dec379c07e0892e174d0b3ee,Lolyda.AA1
72,00de850c9c81913e282bcd7c32097e38,Lolyda.AA1
73,00900d33b95eba3f794bcae4f3330fe1,Lolyda.AA1
74,009298c2aecc445563935dba97f9ffab,Lolyda.AA1
75,00d5221927f8140ea0a3b243e9b5b7ae,Lolyda.AA1
76,00e3b5cc6dcace70c9632641cd7cb376,Lolyda.AA1
77,000619a5882679b3cf6da2ce34507b8d,Lolyda.AA1
78,00831546005efcadf5f1ab45417a4d8b,Lolyda.AA1
79,00a821efaf2d9ed79ebe1b2e363e4520,Lolyda.AA1
80,00706147ccc17111ccaf361796935cf7,Lolyda.AA1
81,008b7e3c5a2b92b0f4167352927b2768,Lolyda.AA1
82,000d4092247b1bdc5731047cad3ed877,Lolyda.AA1
83,009130d6b933476073c31050b0364056,Lolyda.AA1
84,0096f84f93f997129259b6b0af58f125,Lolyda.AA1
85,0027989aa667f3c2a9898c2f6f2ed04d,Lolyda.AA1
86,00b6b2c0971d4455ade732441c891557,Lolyda.AA1
87,005a59e6475a766898cfdf639a8bd2d0,Lolyda.AA1
88,005c8f7cfefa2f88d2023cf548d4cbfa,Lolyda.AA1
89,00c0abd63aa97ad9e80f04f292b0cb08,Lolyda.AA1
90,00835e548c4d8bd291648260828bd851,Lolyda.AA1
91,00b297ada5c20424541cceb95bd8cad6,Lolyda.AA1
92,0021731bb31b87e9b2eb1754936cad41,Lolyda.AA1
93,009c95d3dba661f809fecdc803ce11f4,Lolyda.AA1
94,009ba34110cf3a1114e630e1eaed8c32,Lolyda.AA1
95,00c5950c571260e511783d9b81e2c58d,Lolyda.AA1
96,00e9a151a7878a3698920088cb609b64,Lolyda.AA1
97,00223d6be0d0594161eb0fac8194410c,Lolyda.AA1
98,0080bb69c78ba7ee337a910f7ee93dfd,Lolyda.AA1
99,00dbd0ac6ae6e820d4d34baa3ab1052f,Lolyda.AA1
100,00ae238303e732b5b98004708ac26632,Lolyda.AA1
101,0005c5d02e947dd3f5e5b7acba65faa5,Lolyda.AA1
102,064157d1c98bc7eb506f1aace1cd7e81,Lolyda.AA1
103,0694b2b274f8f3a794e770ac9f7450cc,Lolyda.AA1
104,00791888922fd32976cbab21371ff86a,Lolyda.AA1
105,0051d16b76d809670c9ac53af1ea9173,Lolyda.AA1
106,00cec0173eaca1f80f28962cad1a1e80,Lolyda.AA1
107,00e57f6bce02fade3c0f44545f9d6440,Lolyda.AA1
108,00f3bf78b54dea36155c9d7268ea9da3,Lolyda.AA1
109,00b824dd25bd75a6b976466a89ea131a,Lolyda.AA1
110,004b987b2e23cbef54b7e7409445827e,Lolyda.AA1
111,0004ec3690fb9cc8332230f6a5d1d8c8,Lolyda.AA1
112,001fdf3cf5249e82c3682b79d87ebf33,Lolyda.AA1
113,0069a769ee0cda8fe368d05bd1876ac5,Lolyda.AA1
114,00018830708311d533bd7c490b063d7e,Lolyda.AA1
115,003f698d78fb1a8b5c8ad9cc329859b0,Lolyda.AA1
116,00f7f7f5820ca6312e3e26308df1ad37,Lolyda.AA1
117,00aa035400d02c15c4725e6969fe58ed,Lolyda.AA1
118,0007b743379d71e4d253aa1f63241a86,Lolyda.AA1
119,00965f1aae45f826c65efeec4e0d69f2,Lolyda.AA1
120,00c21a6b8c91ffd5ebd50cb5b078b647,Lolyda.AA1
121,00a9d4b114bc5419fd277efda7fac96a,Lolyda.AA1
122,0093c1c2abec9ac10f6517fd909ce97b,Lolyda.AA1
123,00ffa9f056ca732636bf9ece205e1d2c,Lolyda.AA1
124,00a2dac2cac41ca56e5eaa4473645630,Lolyda.AA1
125,000f03b210bda3150d7c6b663112cf1d,Lolyda.AA1
126,003fda756d73e7b422514338dda2695e,Lolyda.AA1
127,001de9fabe92bd4a8569a8f791d3fec8,Lolyda.AA1
128,009f2942254d35fee0fbd835a9b45069,Lolyda.AA1
129,007280d1fba27a3448bf97cbada7d489,Lolyda.AA1
130,00b2c17618018a23af0b5b5160bdc557,Lolyda.AA1
131,00a929ac974bd136ec32618a9abcac98,Lolyda.AA1
132,0030b38f37c96f36cd25c124a62444a7,Lolyda.AA1
133,0008376a7745038e5402bca076474cfd,Lolyda.AA1
134,01dc528acbbc4485985afff8436da596,Lolyda.AA1
135,00850e6a4de992c3cbf547c322cb5511,Lolyda.AA1
136,0099f0c44a23b343f6927830df11bd81,Lolyda.AA1
137,00e9de811c7241c93587c856838c2920,Lolyda.AA1
138,000deb8fcb503ff14f7d9d94aed2b58f,Lolyda.AA1
139,0043e06ac6f9241afa2d3b195ef368bf,Lolyda.AA1
140,00de2ffdc171f464ba699364198e7592,Lolyda.AA1
141,00d564967c6b9bebc09c8bda43217192,Lolyda.AA1
142,0099c3c7d6f40e6360b04eb44af0f957,Lolyda.AA1
143,007e7a542337db4a58f899e7fa859758,Lolyda.AA1
144,00fc9ef70abfed9add1d99b4c8610a77,Lolyda.AA1
145,0076dad2397878a962938189ff709ebd,Lolyda.AA1
146,009a9e84013957ebfea24f88f508e01c,Lolyda.AA1
147,00e70e610f6ffe1e53a8fba6e875c599,Lolyda.AA1
148,002ca2673698ec535b1bd634520edff9,Lolyda.AA1
149,003295721c2dac92ce6782e5b4fbfd95,Lolyda.AA1
150,0413ef0d8f7358b981d4c6ac18f24b26,Lolyda.AA1
151,00a5867b3c40e0a17fdb52d56ab349a7,Lolyda.AA1
152,00bf90bbc607eb1c461e1c7d7338f18a,Lolyda.AA1
153,00cec422e6810f0ae39a9580989787ff,Lolyda.AA1
154,00e1dab3cd9aa4bf00f9a65c46763bb5,Lolyda.AA1
155,0094acb2bc0696ef2703f024dc772b31,Lolyda.AA1
156,009582ae829a0740ec73c18efc36a9a9,Lolyda.AA1
157,00b47f3e8562573dd89fd06828455809,Lolyda.AA1
158,009b5c84cd72a226742d6fdd4e748ce7,Lolyda.AA1
159,02bcb6badef224136ff59867e2df07b5,Lolyda.AA1
160,00db6d58971f16d8db43b261e56a716f,Lolyda.AA1
161,00881bb589e27ed5631a4310ee75163d,Lolyda.AA1
162,002c53a3ed0974814fefc5ad3ab8a287,Lolyda.AA1
163,00cca09308f334c7a9d4ef6edaa4cd6b,Lolyda.AA1
164,000be4c9108aad4dc9c6ed67d4e92758,Lolyda.AA1
165,001bbfbe7ea63b36ec96ad8959435cc9,Lolyda.AA1
166,0018977d470ff2c2c71c97a4cc8ab183,Lolyda.AA1
167,00c970e16033278673b0856d09c9e3c7,Lolyda.AA1
168,00e67f6d32444c4424ac5d81509a9700,Lolyda.AA1
169,001ca7e8a48aabd76cb2ccc6cb970ca7,Lolyda.AA1
170,00180ccd8a2ddc78b6ac19e640c30b4f,Lolyda.AA1
171,00b24196a8830b741dd734d731eaa37d,Lolyda.AA1
172,0047a9d780e98ee932a7960336b8ea2d,Lolyda.AA1
